provincia_id,provincia_nombre,nombre_provincia_indec,provincia
6,Buenos Aires,Buenos Aires,BUENOS AIRES
26,Chubut,Chubut,CHUBUT
30,Entre Ríos,Entre Rios,ENTRE RIOS
66,Salta,Salta,SALTA
2,Ciudad Autónoma de Buenos Aires,CABA,CIUDAD AUTONOMA BUENOS AIRES
10,Catamarca,Catamarca,CATAMARCA
14,Córdoba,Cordoba,CORDOBA
18,Corrientes,Corrientes,CORRIENTES
34,Formosa,Formosa,FORMOSA
42,La Pampa,La Pampa,LA PAMPA
46,La Rioja,La Rioja,LA RIOJA
50,Mendoza,Mendoza,MENDOZA
54,Misiones,Misiones,MISIONES
58,Neuquén,Neuquen,NEUQUEN
62,Río Negro,Rio Negro,RIO NEGRO
70,San Juan,San Juan,SAN JUAN
74,San Luis,San Luis,SAN LUIS
78,Santa Cruz,Santa Cruz,SANTA CRUZ
82,Santa Fe,Santa Fe,SANTA FE
86,Santiago del Estero,Santiago Del Estero,SANTIAGO DEL ESTERO
90,Tucumán,Tucuman,TUCUMAN
94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Tierra Del Fuego,TIERRA DEL FUEGO
22,Chaco,Chaco,CHACO
38,Jujuy,Jujuy,JUJUY
